material_id,e_ij_max,band_gap,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,space_group,atomic_positions,atomic_elements
mp-766094,0.5623899999999998,,5.184926,5.422124,9.031853,90.0,90.0,90.0,19,"[array([0.78519482, 3.4528411 , 1.16915531]), array([1.80726818, 1.9692829 , 5.68508181]), array([3.37765782, 4.6803449 , 7.86269769]), array([4.39973118, 0.7417791 , 3.34677119]), array([0.30438108, 4.9030966 , 2.28213249]), array([4.9475549 , 3.56318674, 8.68466857]), array([2.8298341 , 1.85893726, 4.16874207]), array([2.28808192, 0.5190274 , 6.79805899]), array([2.89684408, 3.2300894 , 6.74972051]), array([2.3550919 , 4.56999926, 0.34718443]), array([0.2373711 , 0.85212474, 4.86311093]), array([4.88054492, 2.1920346 , 2.23379401]), array([0.46366201, 3.37631324, 5.62154272]), array([2.12880099, 2.04581076, 1.10561622]), array([3.05612501, 4.75687276, 3.41031028]), array([4.72126399, 0.66525124, 7.92623678])]","['Nb', 'Nb', 'Nb', 'Nb', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'F', 'F', 'F', 'F']"
mp-36577,3.1756370191027368,,5.87804,5.999032221105751,6.00892944322098,103.05654203735008,92.79794922177707,106.71020084494843,1,"[array([3.71023182, 2.73341752, 1.54388269]), array([1.30205207, 4.78911857, 3.17992204]), array([0.37311484, 1.4148147 , 4.27973649]), array([3.99484019, 1.51669006, 4.38622618]), array([1.8170033 , 5.44388805, 1.13959485]), array([0.75362222, 2.53512101, 2.27776046]), array([ 0.69602155, -0.71914868,  3.5275401 ])]","['Sr', 'As', 'As', 'S', 'S', 'S', 'S']"
mp-37923,0.4174020882793953,,7.355421281471375,7.355421281471375,7.355421281471375,109.6813798524818,109.6813798524818,109.0517149024365,82,"[array([3.10100434, 2.134399  , 3.25267808]), array([-2.134399  ,  3.10100434,  5.28454592]), array([ 1.13462443,  2.10123823, -1.01592966]), array([0.      , 0.      , 4.268612]), array([6.37002777, 1.1346329 , 1.01592966]), array([0.      , 4.235633, 2.134306]), array([0.59133249, 1.5159627 , 1.71736932]), array([ 2.67456081, -0.63797528,  3.70318739]), array([2.71966606, 4.82696125, 2.55124695]), array([ 1.56107219,  4.87360828, -0.56542461]), array([3.59765772, 1.56107219, 0.56542461]), array([0.63797528, 2.67456081, 4.83403661]), array([ 1.51596694, -0.59132825,  6.81985041]), array([ 3.64430051,  2.7196703 , -2.55124268])]","['Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Ag', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-17389,0.8073281295302344,,10.833012353769934,10.833012353769934,6.096088,90.0,90.0,120.00000216054683,173,"[array([2.61455286, 2.17529829, 4.51065401]), array([ 4.83991894, -6.02974556,  1.46261001]), array([ 3.19113993, -1.17662015,  1.46261001]), array([7.64187207, 1.17662015, 4.51065401]), array([5.99309306, 6.02974556, 4.51065401]), array([ 8.21845914, -2.17529829,  1.46261001]), array([5.416506  , 3.12722759, 2.00646031]), array([ 5.416506  , -3.12722759,  5.05450431]), array([0.        , 0.        , 1.19269962]), array([0.        , 0.        , 4.24074362]), array([ 3.42525757, -3.86942979,  5.96977096]), array([7.40775443, 3.86942979, 2.92172696]), array([3.77811043, 4.48058891, 2.92172696]), array([ 5.76935887, -1.0316453 ,  5.96977096]), array([1.97088779, 1.64825517, 1.37246106]), array([ 4.97452453, -6.85070683,  4.42050506]), array([5.06365313, 1.0316453 , 2.92172696]), array([ 7.05490157, -4.48058891,  5.96977096]), array([5.416506  , 3.12722759, 5.82811616]), array([ 5.416506  , -3.12722759,  2.78007216]), array([ 8.86212421, -1.64825517,  4.42050506]), array([5.85848747, 6.85070683, 1.37246106]), array([8.42014274, 0.88272077, 1.37246106]), array([ 2.41286926, -0.88272077,  4.42050506])]","['Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Si', 'Si', 'Ag', 'Ag', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se']"
mp-27171,0.6475688903109574,,5.97474886,6.244271784699652,8.31850459988779,103.00538421118438,89.9999999311225,118.58216061296015,5,"[array([2.99015043, 2.9880144 , 5.84423195]), array([0.00278198, 2.26412456, 1.10560958]), array([2.96814565, 4.36733502, 1.30997238]), array([-0.01922246,  0.88480394,  5.63986915]), array([-1.62969897,  4.98336687,  5.06167906]), array([1.35767592, 0.26877209, 1.88816247]), array([3.78142737, 2.74517928, 2.20685199]), array([0.79405296, 2.50695968, 4.74298954]), array([ 4.71091155, -0.0288236 ,  4.15915243]), array([ 1.52105306,  3.93682719, -0.07375879]), array([4.50842775, 1.31531177, 7.02360032])]","['Hg', 'Hg', 'P', 'P', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-774146,7.443094543810391,,3.869619,7.707847,8.823862,90.0,90.0,90.0,26,"[array([0.09681787, 7.49897205, 0.        ]), array([3.77280113, 3.64504855, 0.        ]), array([3.85325051, 7.3933283 , 6.33027389]), array([3.85325051, 7.3933283 , 2.49358811]), array([0.01636849, 3.5394048 , 6.33027389]), array([0.01636849, 3.5394048 , 2.49358811]), array([1.96319702, 7.46608267, 0.        ]), array([3.86239829, 5.52802933, 0.        ]), array([1.90642198, 3.61215917, 0.        ]), array([0.00722071, 1.67410583, 0.        ])]","['W', 'W', 'Br', 'Br', 'Br', 'Br', 'O', 'O', 'O', 'O']"
mp-1029718,0.00861513488552396,,4.895849090267795,4.895849090267795,23.484841,90.0,90.0,120.00001473320211,152,"[array([ 0.73561095,  1.27411592, 15.65656849]), array([ 0.73561095, -1.27411592,  7.82827251]), array([3.42462609e+00, 2.05430797e-16, 0.00000000e+00]), array([ 3.08907936, -2.95984425,  5.08143853]), array([ 0.78800877, -1.19529987, 20.73800703]), array([ 3.46668387, -0.08478588, 12.90971104]), array([0.78800877, 1.19529987, 2.74683397]), array([ 3.08907936,  2.95984425, 18.40340247]), array([ 3.46668387,  0.08478588, 10.57512996]), array([0.44279028, 0.7669355 , 3.91414799]), array([ 0.44279028, -0.7669355 , 19.57069301]), array([ 4.01026743e+00, -1.66953236e-16,  1.17424205e+01]), array([ 3.19618827, -2.61950083,  6.21434726]), array([ 1.02920027, -1.45823065, 21.87091576]), array([ 3.11838346, -0.16219852, 14.04264325]), array([1.02920027, 1.45823065, 1.61392524]), array([ 3.19618827,  2.61950083, 17.27049374]), array([3.11838346, 0.16219852, 9.44219775])]","['Cs', 'Cs', 'Cs', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
mp-510670,1.6226467569683798,,3.060091,4.484512,5.043163,90.0,90.0,90.0,31,"[array([0.        , 3.24241429, 0.05156634]), array([1.5300455 , 1.24209771, 2.57314784]), array([0.        , 3.64978736, 2.47894156]), array([1.5300455 , 0.83472464, 5.00052306]), array([0.        , 4.45941667, 1.8579769 ]), array([1.5300455 , 0.02509533, 4.3795584 ]), array([0.        , 2.28778725, 3.33662725]), array([1.5300455 , 2.19672475, 0.81504575])]","['Fe', 'Fe', 'H', 'H', 'O', 'O', 'O', 'O']"
mp-557574,0.44245092236314754,,6.30823753,6.52149587,7.67806257,90.0,90.0,90.0,31,"[array([0.14768537, 1.08719029, 5.76190393]), array([3.30180413, 5.43430558, 5.75518992]), array([0.14768537, 1.08719029, 1.91615864]), array([3.30180413, 5.43430558, 1.92287265]), array([3.32705853, 2.27441512, 0.        ]), array([0.17293976, 4.24708075, 3.83903128]), array([0.11425455, 4.40647283, 0.        ]), array([3.26837331, 2.11502304, 3.83903128]), array([2.41792272, 1.02261301, 2.06811172]), array([5.57204148, 5.49888286, 5.90714301]), array([2.41792272, 1.02261301, 5.60995085]), array([5.8612297 , 2.21836762, 0.        ]), array([2.70711093, 4.30312825, 3.83903128]), array([5.51288176, 1.88576038, 3.83903128]), array([2.35876299, 4.63573549, 0.        ]), array([5.57204148, 5.49888286, 1.77091956])]","['Cu', 'Cu', 'Cu', 'Cu', 'Hg', 'Hg', 'Ge', 'Ge', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mp-25971,1.2602867885003652,,7.3778576025168725,6.349374458503137,5.543600300479464,76.34972864830924,56.750450975994646,46.89982037569612,43,"[array([1.441062  , 2.98706185, 2.828777  ]), array([2.882124  , 0.61931685, 5.657554  ]), array([4.323186  , 8.88419596, 8.486331  ]), array([2.882124  , 6.51645096, 5.657554  ]), array([2.882124  , 3.51006831, 5.657554  ]), array([4.323186  , 5.87781331, 8.486331  ]), array([2.04006824, 4.5060413 , 6.53205344]), array([3.81923221, 2.60200969, 6.4913926 ]), array([2.37817021, 4.96975469, 1.9949384 ]), array([3.48112736, 6.87378157, 7.61183156]), array([3.72418264, 4.5060413 , 4.78306022]), array([1.94501579, 2.60200969, 4.8237154 ]), array([5.16524176, 6.87378157, 9.36082478]), array([3.38607779, 4.96975469, 9.3201696 ])]","['Li', 'Li', 'Mn', 'Mn', 'P', 'P', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
