,ID,band_gap,a,b,c,alpha,beta,gamma,piezo_modulus
0,mp-5784,2.9873,5.270943,5.617381076853697,7.5252286428294,109.43427818474534,106.21752417180896,87.18174882699118,0.9552308312654068
1,mp-4681,2.3684000000000003,9.674636714728312,9.674636714728312,9.674636714728312,101.74109399231378,101.74109399231376,126.37167240045395,4.50082
2,mp-569711,1.7548000000000001,9.90037716,9.90037716,4.85122253,90.0,90.0,90.0,0.433139236908872
3,mp-30390,0.02200000000000024,7.463583222486368,7.463583222486368,12.010118,90.0,90.0,109.58452763218293,0.2860919268658785
4,mp-16964,5.6779,4.6129706573038165,4.612970706002911,4.61297053,60.00000119041122,60.000000841188736,60.00000086861303,0.11285158702458639
5,mp-36209,1.1554999999999995,6.099896594061658,6.35676319,7.357789610033569,90.0,90.0093171577266,90.0,0.4629282318027396
6,mp-1020797,5.2816,8.836211416616534,8.836211416616534,8.836211416616534,109.47122063449069,109.47122063449069,109.47122063449069,0.6509454359467696
7,mp-1226180,0.9725999999999999,10.400685246851337,10.400684635607673,8.037129920000154,90.00001406057993,89.99998287073805,119.99998664957712,0.08414266099904374
8,mp-1778,6.847700000000001,5.571010068915779,5.571010068915779,5.571010068915779,114.74509158217204,114.74509158217204,99.37155361284435,0.09442862871129215
9,mp-1224848,0.8903000000000001,7.532687052699521,7.532687052699521,7.532687052699521,118.7280310045104,118.7280310045104,92.21760590720247,0.6528273485824512
10,mp-1103261,0.7878999999999996,7.5900364715353295,7.5900364715353295,7.5900364715353295,109.47122063449069,109.47122063449069,109.47122063449069,0.9900893964183233
11,mp-3652,0.0,9.026829146901695,9.026829146901695,3.564702859809356,84.96786757142506,84.96786757142506,126.40994859493513,1.1738927074863403
12,mp-757248,2.1583,4.883619153256251,4.883619153256251,4.883619153256251,60.00000000000001,60.00000000000001,60.00000000000001,0.5429153942374447
13,mp-758053,0.0,6.898069742135767,6.898069742135767,7.836421568225767,81.55415971066846,81.55415971066846,119.75738829120365,2.2713899999999994
14,mp-20032,1.3715000000000002,7.134879956226874,7.134879956226874,7.134879956226874,60.00000000000001,60.00000000000001,60.00000000000001,2.7481287096859197
15,mp-707226,3.748,6.992051790011355,6.992051790011355,6.842095954294781,61.9257912475298,61.9257912475298,93.30622652556464,0.09396999999999997
16,mp-5151,1.3548999999999998,6.221374,6.3315375945049075,6.437544123161875,100.10703309823238,102.6722329677511,98.72468555748775,0.32598958657622906
17,mp-4163,2.5302000000000002,8.412661332809552,8.412661332809552,6.227405123524565,89.88856273649671,89.88856273649671,138.79439214547125,5.88125396680844
18,mp-14782,0.0,4.353097251953211,4.35309750341856,4.35309675,59.99999045107963,59.99998854016205,59.99998979592007,0.3468510381993978
19,mp-7798,3.4891,8.653679379734148,8.653679379734148,5.271185,90.0,90.0,119.99999525791782,1.2643280363101976
20,mp-561075,1.9249999999999998,5.090923763851795,5.477962774363806,5.388258199921395,109.36335357498587,96.27110049531584,96.0074877369444,0.43502270731618053
21,mp-643263,4.0072,4.0066372933984065,4.006636733351311,4.00663559,60.00000110097973,60.0000057248591,60.000018450319295,0.6463351082062688
22,mp-680111,2.3667999999999996,9.997294245189046,9.997294245189046,5.323137,90.0,90.0,148.98584104897716,0.0066595822753385756
23,mp-541629,5.7568,5.190162,5.221065934637485,5.614153197855755,117.64074050888826,91.21712927468546,118.2653592021218,0.16513999999999998
24,mp-14780,1.1332999999999998,5.008673,6.419184,6.889457359662588,75.71237684914158,90.0,90.0,0.36938757572501046
25,mp-850339,1.0417999999999998,3.654284317881507,3.654283073325434,3.65428332,59.99999776702328,60.000009033137594,60.000000139125135,0.9633826854890049
26,mp-34011,2.1913,9.746411,9.746411,6.527622,90.0,90.0,90.0,0.5212254955483926
27,mp-10419,2.4384,5.101501401369993,5.078685199249211,6.285700885935394,113.69908041219071,114.01266830646512,89.85143673885493,0.9838619759591056
28,mp-19481,2.6422,8.5531744519556,8.5531744519556,8.553175162747458,107.88318982308806,107.88318982308806,107.88318693396504,0.15485999999999997
29,mp-32684,4.486000000000001,6.49300517,6.49300517,11.84644502,90.0,90.0,90.0,2.0431799999999996
30,mp-756967,2.6673999999999998,6.352131568014335,6.352131903302835,7.735093752889792,114.24282530554575,114.24282463734917,89.99999713799097,0.7106053404668445
31,mp-754357,3.1927000000000003,7.065245049678603,7.065245049678603,6.922444,90.0,90.0,120.00000982926635,0.37781271143101003
32,mp-752966,1.8857,6.86256651,7.24550841,8.48475601,90.0,90.0,90.0,1.2120672513779294
33,mp-753960,3.6272,5.25125472,5.397342573544084,8.58802772,90.0,90.0,119.10861658403311,0.1843861320707173
34,mp-22261,0.0,3.466544437097826,3.466545233763223,6.393575429730982,105.72946673897383,105.72947861572739,90.00000068196366,0.03490500000000002
35,mp-18953,2.1974,5.316977,5.559867,6.699494,90.0,90.0,90.0,3.089352122565505
36,mp-27852,1.9134000000000002,9.057440719938773,9.057440719938773,9.057440719938773,141.81845880376918,140.31204211847756,56.24864655222653,0.32946000000000003
37,mp-5461,2.9856,4.186835534459064,4.186835896959547,4.18683535,59.999987746370174,59.9999848288494,60.00000236708488,0.5434200000000001
38,mp-754901,1.2734,5.451286392830256,5.452365867044904,5.091213541020776,90.00528201282887,90.00709658634639,120.00170408638269,0.965434101557429
39,mp-23764,4.4559,4.623110576858381,4.623110785641747,6.22369746,90.0,90.0,109.8932358308071,0.6357142631717505
40,mp-759972,2.4943,8.792489569850277,8.79249263558018,8.792496036173766,109.47122137938143,109.47121196183264,109.47121201502998,0.05305301599717794
41,mp-3491,2.4311000000000003,4.40766733,4.407667741581084,7.13632075,90.0,90.0,120.00001184610177,8.088503480786787
42,mp-1216682,2.4516,4.902365209763956,4.902365209763956,4.902365209763956,119.01645041517155,119.01645041517155,91.71217068895598,0.13233339650971188
43,mp-27851,1.7701,8.675236706127862,8.67525075028406,5.010416340018954,89.99978183958838,90.00031308218766,120.00016570440317,0.35788
44,mp-10080,4.0149,6.47984656,7.221692536362867,12.12473597,90.0,90.0,116.65631152285857,0.3616552531132612
45,mp-29689,0.5137,6.405452629234621,8.326385242489836,9.907480326884194,85.65871016008695,76.94466990387845,83.16015565218761,0.2286449203459374
46,mp-1188784,1.9513,4.97452257,5.557517915048973,9.254349086273992,83.52945127872674,90.0,90.0,0.9722968933921367
47,mp-559691,4.284800000000001,4.28365172,4.283650641663584,13.09041388,90.0,90.0,119.99999215176801,0.385115
48,mp-753854,4.099,8.41493554,8.41493554,15.7783981,90.0,90.0,90.0,0.11574685239461989
49,mp-27809,0.5134000000000003,6.382307051347263,6.382307051347263,6.382306707024115,40.2435443244178,40.2435443244178,40.24354293776005,0.18104439013678383
50,mp-5546,0.6152999999999995,2.938020903414576,2.938020903414576,2.67968,90.0,90.0,120.00002034343053,1.5970660757777053
51,mp-574338,0.0,3.2393362045778455,3.23933674,5.27934611,90.0,90.0,120.00000546767045,0.3265093314243859
52,mp-1221515,0.7303,4.152909515345838,4.152909515345838,4.798821,90.0,90.0,119.99999227903672,0.9653084179005692
53,mp-30159,1.6361000000000003,4.718418348901462,4.718418348901462,4.718418316862548,87.1105460698345,87.1105460698345,87.11054145319892,0.07575004422440954
54,mp-759070,3.3844,7.595567915162763,7.595567915162763,9.849124398820486,80.8982136223462,80.8982136223462,32.65077305581339,0.12357333333333335
55,mp-23844,1.4590999999999998,4.256147748621986,4.256147748621986,5.92118,90.0,90.0,119.99999609246751,0.055009999999999996
56,mp-13033,2.3638000000000003,5.789501470844972,5.781297607166524,8.199177455566605,89.99999724618526,135.08113860692512,119.95313745853322,0.13948338396617266
57,mp-545399,1.7121000000000002,4.415399,4.415399508210327,4.523694,90.0,90.0,120.00000368443936,0.794421401264883
58,mp-23807,5.6572000000000005,13.09925557,13.09925557,13.09925557,90.0,90.0,90.0,2.440293023470747
59,mp-22958,3.8569,6.299471731614379,6.299471731614379,6.299471731614379,109.47122063449069,109.47122063449069,109.47122063449069,0.7328396729887549
60,mp-625075,4.4054,4.202076021692279,4.202076021692279,4.202076021692279,60.00000000000001,60.00000000000001,60.00000000000001,2.233475618390364
61,mp-4763,1.3641000000000005,4.454410739371824,4.454410739371824,4.454410739371824,60.00000000000001,60.00000000000001,60.00000000000001,0.11634218559285756
62,mp-27854,3.0944000000000003,6.34286969,6.34286969,6.34286969,90.0,90.0,90.0,0.002710779408214546
63,mp-760367,2.6463,5.825846,5.825846,5.825846,90.0,90.0,90.0,2.886702826693875
64,mp-504422,3.5739,4.46097435,4.4609741979366975,9.91198683,90.0,90.0,120.0000151823764,0.04457999999999999
65,mp-14288,0.8898000000000001,10.308828925569578,10.308828925569578,7.995537,90.0,90.0,120.00000594007234,0.28435086581190055
66,mp-559091,5.4496,7.262122666907865,7.262122666907865,6.78660897078961,84.24815389977631,84.24815389977631,45.68654389459586,0.031965
67,mp-560829,2.9149,7.523290633790044,6.601159946590675,6.563021281563698,69.70867978529161,55.38401114752449,54.90730906718393,0.62159
68,mp-984055,3.6946,4.157273225346754,4.157273225346754,7.041954,90.0,90.0,119.99998767205206,0.24221012218436597
69,mp-1147551,0.7795,7.65534826190899,7.65534826190899,7.65534826190899,148.43948248642855,148.43948248642855,45.23701789602537,0.7578333392502579
70,mp-510347,1.1148999999999996,4.289971455897005,4.289971683594198,4.28997232,60.00000232477854,60.00000060589906,59.99999364889517,0.4398612787004557
71,mp-561525,3.7999,5.085687,5.528724099801689,8.76583333911226,107.53196705259151,89.99606517053662,117.06514992944344,0.34503798600326935
72,mp-569346,1.2119999999999997,4.0308857,8.59079661057312,11.14869593,90.0,90.0,103.56834086864279,0.12877295834141606
73,mp-6062,5.157800000000001,5.93720866,5.93720866,7.080653,90.0,90.0,90.0,1.6501123636365727
74,mp-1041662,2.3586,5.9752059364763,5.975205728942019,6.944284353004935,115.48181072550261,115.48181733310031,90.00001148449448,3.132885043577604
75,mp-8883,0.22380000000000022,3.70726898,5.669976675702858,11.29234677,90.0,90.0,109.08200471531599,0.5154393675302658
76,mp-542464,3.9646999999999997,6.73026885,6.73026885,12.2504591,90.0,90.0,90.0,1.0353994537549094
77,mp-22894,1.3877000000000002,4.449039666465381,4.449040583081253,4.44904005,60.00000388924036,59.99999707397067,59.999995943040645,0.2633561671956856
78,mp-755380,1.8007,4.660185362167309,4.660184707057102,4.6601846,60.00000075993134,60.000005410147665,60.00000313676144,0.622085
79,mp-978852,0.4150999999999998,6.48895017,6.63951447,17.42228806,90.0,90.0,90.0,0.538353222429304
80,mp-9064,0.4374,8.98880666196987,8.988734533223134,5.048503100014464,89.99990443321917,89.9998324882185,120.00186277625397,0.032615300306371005
81,mp-676361,5.2109000000000005,10.341703668815308,10.341703668815308,6.152143,90.0,90.0,119.99999788129657,0.27997701040582323
82,mp-14873,1.7856999999999998,7.874443766055295,7.874443326834575,7.87444369,109.47122422999172,109.47122303707657,109.47121562432747,0.8272017969032708
83,mp-754071,0.13529999999999998,4.366641120273089,4.366639930060017,7.13727701,90.0,90.0,113.03351767285304,1.6112473331242478
84,mp-510279,3.2405000000000004,6.078000415573505,6.078000846419531,6.078000982881011,88.54428593981713,120.8439901951792,120.8439796755035,0.29680999999999996
85,mp-23147,4.8027,8.192782185135584,8.192782185135584,8.192782185135584,109.47122063449069,109.47122063449069,109.47122063449069,0.24373000000000014
86,mp-6930,5.6695,3.223354140072945,3.2233531295118962,3.22335291,59.99999209284825,60.00000246375318,59.99999719666737,0.24883442301265796
87,mp-753509,0.7405,4.174725103299528,4.174724893174411,4.17472507,59.99999851962922,60.00000018462105,60.00000303290362,1.2246118775027328
88,mp-753401,2.8095000000000003,6.486789505803771,6.486789937863914,7.812293968818259,114.52975253288653,114.5297391695436,89.99999445376181,0.24404
89,mp-1221602,1.0838999999999994,7.752169378935406,7.752319018342503,5.618851959076325,90.00113541027197,90.00009885554418,120.00288814036473,0.15120999999999996
90,mp-557856,1.6825999999999999,8.831323662821836,9.438610775266934,8.83130810289606,90.00310951504613,119.99962598030346,90.00002841964609,0.372701217204407
91,mp-9007,1.2626000000000002,8.51185989,4.253739429486609,7.370424070602106,54.707412728867034,90.0,90.0,0.4380105838903899
92,mp-850922,1.854,6.06333258,6.2857069,9.61819304,90.0,90.0,90.0,1.0797789309478525
93,mp-2172,1.5036999999999998,2.9789168900262033,4.312554782283852,4.865361852571619,90.00372213320892,90.00009844370017,89.9999856140753,0.07633333333333349
94,mp-557,2.8043999999999993,6.205638565547919,6.278727294823993,6.278726809490475,87.76064383025385,74.36163500494176,74.36164598730213,0.5071699999999999
95,mp-11670,2.7167000000000003,5.916137,6.505087,17.950765,90.0,90.0,90.0,0.4232120216865311
96,mp-19154,1.3402,5.90549639,7.91291932,10.46341775,90.0,90.0,90.0,0.827115551111031
97,mp-36641,0.6335999999999999,6.336385,5.686126,8.592219659639296,86.88150843312846,90.0,90.0,0.14554450641798997
98,mp-644129,4.0043999999999995,2.9955942776617794,2.9955942776617794,5.0625278415756885,86.49057176736,86.49057176736,56.21203427324865,1.74084
99,mp-604120,4.9267,7.274603800061407,7.274604770129097,7.63920148,90.0,90.0,120.00000454242007,0.19018999999999997
100,mp-754172,1.0174000000000003,3.8299233501685936,3.8299814872201337,6.065805510132319,89.99929942818757,90.00070180719288,119.99818979491342,0.17444324291872132
101,mp-758703,1.0909,2.8372,2.8372,4.249387,90.0,90.0,90.0,0.11313053433976168
102,mp-15472,1.3816,3.467131487267248,3.467131487267248,3.467131487267248,138.2833951911264,138.2833951911264,60.469241856978606,0.3950799999999998
103,mp-754459,1.5295999999999998,3.1841268,3.1841253644150385,17.33459995,90.0,90.0,120.00001491422807,1.985738300854658
104,mp-768074,3.2939,5.691299740468391,5.765251178814154,5.38931929,90.0,90.0,120.43078748420028,0.7958799999999997
105,mp-510760,1.3978,4.443256330884327,4.443255508166269,4.44325583,60.000005272249346,60.00001139732647,59.99999704585458,0.4491826135326255
106,mp-626229,5.2564,3.62840761,8.40561843,10.42401746,90.0,90.0,90.0,0.4604140454703574
107,mp-8703,0.9870999999999999,6.449256028539198,6.449256028539198,7.43658817,90.0,90.0,108.90163995090965,0.8041678162525028
108,mp-504951,2.0936999999999997,8.973289806714593,8.973289806714593,8.973288862725479,24.279964267652883,24.279964267652883,24.279965185528653,0.03697391512945331
109,mp-20731,0.6337000000000002,6.887925999298773,6.887925999298773,7.516351,90.0,90.0,110.33691453862001,0.20686949364273116
110,mp-756591,2.5867,7.236114699367886,7.236114699367886,7.236114699367886,120.16551634363296,120.16551634363296,89.7135555609195,0.67002
111,mp-973793,1.7523,8.097701,8.097701,5.240277,90.0,90.0,90.0,0.5970899999999999
112,mp-758560,1.6772,6.532577672728316,6.532577672728316,7.20102523,90.0,90.0,103.37161729953378,1.1877260321303058
113,mp-1210796,2.0368,4.71663094,5.397479825227968,7.975403733896015,104.17648174254485,90.0,90.0,1.5875272126486943
114,mp-10097,0.4377,8.93840576880983,8.938405210150952,8.938405063216864,98.56182034563727,115.1862253327156,115.186222616394,0.5245367315069558
115,mp-540998,1.0553,6.634853,4.789454,5.853007689321534,83.27492184906168,90.0,90.0,0.4515631970744479
116,mp-988996,0.017599999999999838,7.0979153680406055,7.0979153680406055,7.0979153680406055,135.39041496379483,135.39041496379483,64.924184504777,0.40563428799843837
117,mp-1042110,3.4686999999999997,6.381072073174931,6.381072073174931,7.350600616702011,81.96469240262006,81.96469240262006,119.99811375911176,0.23472
118,mp-685969,0.0,5.97064174,5.97064174,5.97064174,90.0,90.0,90.0,1.0424437415133703
119,mp-16238,0.14780000000000015,4.671215,4.91484483,11.65117595,90.0,90.0,90.0,0.6318798544854161
120,mp-34903,1.4981999999999998,8.769110510592279,8.769110510592279,8.769110311249655,36.63098977488008,36.63098977488008,36.630989797142284,0.18508655362909046
121,mp-14367,2.0204,3.744827613669019,3.744827613669019,3.744827613669019,60.00000000000001,60.00000000000001,60.00000000000001,0.08661
122,mp-755468,1.0886,4.610832602296683,4.610832602296683,4.610832602296683,60.00000000000001,60.00000000000001,60.00000000000001,0.30279
123,mp-561291,5.241,6.55229769,6.552298363368508,3.80921491,90.0,90.0,120.00000674807724,0.16228100628231268
124,mp-555166,0.3679000000000001,6.237192237967186,8.120353511787973,9.714940510106965,82.91838660231433,71.27596032982522,67.41542023446304,0.11555000000000003
125,mp-23494,2.3129999999999997,6.697763832842272,6.697763832842272,8.008594,90.0,90.0,127.63086777531441,0.984251321259658
126,mp-771892,2.5094,6.26952755162588,6.26952755162588,20.076342,90.0,90.0,119.99999526851217,0.055895
127,mp-32244,2.1663,7.2286253500854505,7.2286253500854505,7.062929,90.0,90.0,119.99999405170429,2.361125
128,mp-5513,1.9554,5.62219928,5.62219928,8.88666177,90.0,90.0,90.0,0.43189042045642434
129,mp-761495,4.0882000000000005,6.346582658871229,6.346582658871229,15.591788,90.0,90.0,120.00000686835283,1.2823523768187937
130,mp-769953,3.8992,9.768779442295797,9.768779442295797,6.28132,90.0,90.0,119.99999622292492,0.126165
131,mp-1029262,1.1715000000000004,7.576010418926904,7.576010418926904,13.139062056140425,72.52363319297218,72.52363319297218,59.69261385739891,0.9623034773916179
132,mp-17486,1.8224999999999998,9.33584056,10.07829695,13.61773952,90.0,90.0,90.0,1.670381831206014
133,mp-1210923,2.1565,6.232858709235614,6.232858334089578,8.57491527720336,111.31133846693237,111.31133897660578,90.00000013279828,1.6463707487987023
134,mp-978847,0.29579999999999984,6.697206231423518,6.697206231423518,8.0076,90.0,90.0,126.96714669977827,0.35832207341998906
135,mp-5830,2.5223000000000004,5.421784203191788,5.421782928018802,5.421792388135289,56.015531750590114,56.01550788106629,56.01556113629198,0.13671999999999998
136,mp-759421,1.9246000000000003,4.957723769604353,4.957723769604353,4.957723388049196,89.90935870178335,89.90935870178335,89.909356802881,0.3688372866678557
137,mp-7595,4.0597,6.64015405,6.64015405,6.64015405,90.0,90.0,90.0,0.18069
138,mp-17389,1.4423000000000004,9.604212815590603,9.603287942308409,5.232000552790267,89.98909395543973,90.0111734390152,119.99934877120165,0.8073281295302344
139,mp-1554,0.21319999999999983,6.457743896211955,6.457743614947003,6.478940637238279,108.16475296501217,108.1647582386621,111.99049416023483,0.02711047264789641
140,mp-772968,3.7371999999999996,4.306234,4.770092,6.253913862480839,89.40707895457791,90.0,90.0,0.18209071218534234
141,mp-626143,4.2054,6.590291,7.363206,7.845648,90.0,90.0,90.0,1.0750420249965862
142,mp-558387,3.9577,7.578821634000169,7.575520098666361,9.82198348341683,70.94888752135803,70.91164623034524,98.87216428405299,1.2176356643512047
143,mp-755047,1.4504000000000001,11.868408,11.868408,4.248008,90.0,90.0,90.0,3.776931112437715
144,mp-1103730,1.8220999999999998,5.2360925248083605,5.2360925248083605,4.608045079494123,81.79712822387565,81.79712822387565,100.52040144999505,0.09013124940381007
145,mp-763507,1.5655000000000001,5.236978056985918,5.236978056985918,4.52687918664426,81.63824266900988,81.63824266900988,103.01983559572031,0.9189609795228768
146,mp-8537,5.8812,7.397686021119915,7.397686021119915,9.353534,90.0,90.0,145.66205600928916,0.0266
147,mp-1025377,1.7741000000000002,7.88590443,7.88590443,7.88590443,90.0,90.0,90.0,0.4449199999999998
148,mp-722865,3.6460000000000004,5.50715117,6.08236604,7.55280572,90.0,90.0,90.0,0.08539999999999999
149,mp-20191,0.3774000000000015,8.447594841936764,8.44759504757542,8.44759475,109.47121740219337,109.47121785231025,109.4712228896422,8.624439988776082
150,mp-23702,3.1357999999999997,5.6613214,6.53018836,5.20594811,90.0,90.0,90.0,0.27667903105403563
151,mp-24097,4.2476,4.27245258,7.692037738890065,7.692352494397523,119.99903316961476,90.0,90.0,0.5964798015021132
152,mp-2414,5.1448,6.12365578,7.71893672,5.61892356,90.0,90.0,90.0,0.027368613410255184
153,mp-759764,1.6949,5.02399,5.796332514006593,6.655039735563267,65.45539294826945,80.58051974789728,71.44120455935023,5.828212670476259
154,mp-558879,0.36030000000000006,5.241687,5.706295850652681,5.715938177789014,73.23548978684471,66.73329030952524,67.50776918211844,0.04693999999999999
155,mp-1106051,0.2964000000000002,5.059924,5.471699455942824,5.742625439506046,106.45656336974024,89.85486035877571,110.87107160992433,0.57639
156,mp-10246,1.1433,5.481686848441785,5.481687671169531,6.541936063753084,114.7692778127874,114.7692821125273,89.9999993259461,0.16336360549400256
157,mp-1220802,3.4107000000000003,6.22806333,6.22806333,6.22806333,90.0,90.0,90.0,0.4758668356194899
158,mp-756289,1.1417,5.451780286548056,5.451780286548056,5.451780158717334,90.78219256338525,90.78219256338525,90.78220308409033,0.026899999999999993
159,mp-998555,1.7904999999999998,20.397035085033632,20.397035085033632,20.397035085033632,167.4853308698458,158.8984267643306,24.60714215273691,1.957781953972411
160,mp-9063,0.9245,4.339661254681492,4.339661017516534,4.33966243,60.00001222132422,60.00001411716837,59.999998713715854,0.06268148086185672
161,mp-23032,0.5494,5.815448921003691,5.815448921003691,5.815448921003691,109.47122063449069,109.47122063449069,109.47122063449069,0.005280000000000001
162,mp-559847,1.2689,8.889214741598101,8.889214741598101,3.857251,90.0,90.0,120.00000551946785,1.3951499999999997
163,mp-1101755,1.0195999999999996,5.894442,5.894442,5.894442,90.0,90.0,90.0,1.176427496108451
164,mp-1023954,1.3369,5.92856457,6.12541829,7.3331526,90.0,90.0,90.0,0.06929251500833829
165,mp-765500,2.4554,8.63865924,8.63865924,8.63865924,90.0,90.0,90.0,2.037679326612196
166,mp-13949,1.0357000000000003,6.184217,6.413332,7.507456,90.0,90.0,90.0,0.0910609753225317
167,mp-863755,2.4131,10.829685652428006,10.829861149742001,10.82983121990719,109.47146620818792,109.47086941933284,109.47094749992324,0.4736623087260076
168,mp-765958,3.0527999999999995,5.618122947359732,5.618122947359732,5.614866,90.0,90.0,91.12025733703682,0.7420227635996082
169,mp-1029422,1.8500999999999999,13.907598482119443,13.907598482119443,13.907598482119443,164.5284682269121,164.06357094989767,22.281824245585998,0.6871627139186177
170,mp-6137,4.830500000000001,7.690676403270985,7.690806421602745,7.690705223703599,131.76814665052547,131.76558627472173,70.60002620106562,0.2499000000000002
171,mp-28423,1.6141000000000003,4.706428,4.706428,9.319217,90.0,90.0,90.0,0.13624219319317105
172,mp-9338,4.4529000000000005,5.29088404115645,5.29088404115645,5.186806,90.0,90.0,120.00000051463778,0.11929000000000001
173,mp-754389,1.4661,4.46299462,7.373749144979775,7.809978033905721,89.49382030315485,90.0,90.0,0.6729367051267529
174,mp-36381,1.1942999999999997,6.880097,4.98869,5.9549849665706125,84.52108128247616,90.0,90.0,0.12430723316104055
175,mp-12180,2.0185,8.464365947096923,8.464365947096923,8.464365947096923,95.54080992323838,95.54080992323838,143.79323442940253,0.2219231112259231
176,mp-5048,1.5885000000000002,6.50139678,5.62542348,5.30516604,90.0,90.0,90.0,0.04749232409005667
177,mp-16609,0.40939999999999976,4.62398843,7.1131833,7.1131833,90.0,90.0,90.0,8.166383286991246
178,mp-504482,2.3613999999999997,7.66479957,7.664799082624282,4.48604454,90.0,90.0,119.99999335390774,0.14355665501814957
179,mp-555863,4.9313,5.260941,6.174635194715636,9.089198892322468,108.043501330814,89.02368277962721,114.94703142798973,0.042012835110153926
180,mp-8084,1.5654999999999997,6.343104,6.604929,7.76274,90.0,90.0,90.0,2.0921838882373605
181,mp-17885,0.7633999999999994,6.71764455635195,6.71764455635195,9.932882,90.0,90.0,120.00000547929383,0.2803541435399163
182,mp-14289,0.4838999999999998,5.709486644611754,5.709486644611754,5.709486994371736,59.530704424267284,59.530704424267284,59.5307136210808,0.2858414731853807
183,mp-555021,2.6752,9.172859,7.11061,8.809393341922757,80.01698641404433,90.0,90.0,0.9307259864750743
184,mp-642690,1.1901,6.747757266831847,6.747757266831847,16.957564,90.0,90.0,119.99999281153522,1.7344270009040699
185,mp-755492,0.31479999999999997,8.967518632898843,8.967518858064741,8.967515059100643,109.47122650339541,109.47124833572946,109.47124116262093,0.2031155328870739
186,mp-29826,3.4511,5.627172,5.627172,5.627172,90.0,90.0,90.0,0.22512
187,mp-755367,0.8805999999999994,6.389366,8.27042000000006,8.865993500753651,117.80167259237159,68.87953920316286,90.0,2.9638123587471927
188,mp-12885,3.4109000000000003,8.351142,8.351142,5.023808,90.0,90.0,90.0,0.26997965110154054
189,mp-569525,0.3542,6.532293165565214,6.533012043239856,6.53299796548453,70.54568282196615,70.51812702440226,109.48199445075208,0.7730356233071453
190,mp-696231,3.3852,6.05167787,6.6068863465500955,6.606888495483859,111.73076331805329,90.0,90.0,0.19808531797015344
